Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BAS.DE,50.63,2020/09/01,17:35 CEST,-0.6899986,51.45,51.76,49.97,2718460,,,,,,,
ALV.DE,182.0,2020/09/01,17:35 CEST,-3.7200012,183.38,183.5,179.68,871846,,,,,,,
ADDYY,151.59,2020/09/01,15:59 EDT,-1.2900085,150.2,152.285,150.2,29322,,,,,,,
"^GDAXI",12974.25,2020/09/01,17:44 CEST,28.84961,13037.2,13127.28,12850.3,0,,,,,,,
WDP.BR,29.845,2020/09/01,17:35 CEST,0.24499893,29.765,30.19,29.71,217609,,,,,,,
UMI.BR,38.44,2020/09/01,17:35 CEST,-0.05000305,38.51,39.16,38.28,373824,,,,,,,
UCB.BR,98.5,2020/09/01,17:35 CEST,-1.0199966,99.78,100.5,98.48,294270,,,,,,,
TNET.BR,31.4,2020/09/01,17:35 CEST,-1.1800022,32.66,32.8,31.4,133102,,,,,,,
SOLB.BR,72.32,2020/09/01,17:38 CEST,-0.3199997,73.22,73.36,71.08,154946,,,,,,,
SOF.BR,252.5,2020/09/01,17:35 CEST,1.0,253.0,257.0,251.5,22893,,,,,,,
PROX.BR,16.2,2020/09/01,17:35 CEST,-0.3899994,16.7,16.7,16.2,702961,,,,,,,
KBC.BR,47.93,2020/09/01,17:35 CEST,-0.16999817,48.82,48.87,47.24,671659,,,,,,,
INN1.DE,6.795,2020/09/01,17:12 CEST,0.0,6.821,6.896,6.685,336274,,,,,,,
GBLB.BR,77.4,2020/09/01,17:35 CEST,-0.1800003,77.84,78.14,76.82,176068,,,,,,,
GLPG,130.91,2020/09/01,16:00 EDT,-2.25,133.73,133.73,130.58,102870,,,,,,,
COLR.BR,52.8,2020/09/01,17:35 CEST,-0.20000076,52.8,53.38,52.66,199620,,,,,,,
COFB.BR,122.6,2020/09/01,17:35 CEST,-0.20000458,123.2,123.4,121.8,30762,,,,,,,
BAR.BR,18.01,2020/09/01,17:35 CEST,0.15800095,18.0,18.048,17.8,208110,,,,,,,
ARGX,226.86,2020/09/01,16:00 EDT,-4.4100037,232.93,233.45,225.405,162204,,,,,,,
APAM.AS,24.91,2020/09/01,17:37 CEST,0.13999939,25.14,25.24,24.46,128190,,,,,,,
ABI.BR,48.425,2020/09/01,17:35 CEST,-0.38000107,49.045,49.085,47.97,1581442,,,,,,,
AGS.BR,35.32,2020/09/01,17:35 CEST,0.11999893,35.49,35.49,34.82,619902,,,,,,,
AED.BR,99.4,2020/09/01,17:35 CEST,0.7000046,99.5,100.4,98.8,22763,,,,,,,
ACKB.BR,119.1,2020/09/01,17:35 CEST,0.0,120.0,120.0,118.0,31951,,,,,,,
PUB.PA,28.56,2020/09/01,17:35 CEST,-0.8100014,29.48,29.57,28.32,1031415,,,,,,,
UG.PA,14.02,2020/09/01,17:38 CEST,-0.34999943,14.5,14.525,13.79,4175953,,,,,,,
RI.PA,141.45,2020/09/01,17:36 CEST,-2.050003,144.15,144.25,141.25,526315,,,,,,,
ORAN,10.92,2020/09/01,16:00 EDT,-0.21000004,11.07,11.07,10.87,531878,,,,,,,
ML.PA,94.0,2020/09/01,17:35 CEST,-0.62000275,94.96,95.3,93.1,285978,,,,,,,
LR.PA,70.32,2020/09/01,17:35 CEST,0.41999817,69.98,70.72,69.78,319768,,,,,,,
ENGI.PA,11.59,2020/09/01,17:35 CEST,-0.06499958,11.75,11.955,11.59,7334989,,,,,,,
DASTY,188.79,2020/09/01,15:59 EDT,0.0069885254,189.45,191.03,188.61,63825,,,,,,,
BN.PA,54.52,2020/09/01,17:35 CEST,-0.579998,55.24,55.54,54.34,1136409,,,,,,,
ACA.PA,8.514,2020/09/01,17:37 CEST,-0.07400036,8.706,8.72,8.36,5875522,,,,,,,
CA.PA,13.435,2020/09/01,17:35 CEST,-0.024999619,13.53,13.635,13.4,2201638,,,,,,,
CAP.PA,116.7,2020/09/01,17:35 CEST,0.69999695,117.0,117.6,115.95,382265,,,,,,,
EN.PA,33.29,2020/09/01,17:36 CEST,0.040000916,33.01,33.52,32.78,854910,,,,,,,
BNP.PA,36.085,2020/09/01,17:35 CEST,-0.47999954,37.0,37.355,35.52,4783355,,,,,,,
CS.PA,17.092,2020/09/01,17:37 CEST,0.01599884,17.192,17.25,16.756,7194754,,,,,,,
ATO.PA,73.46,2020/09/01,17:35 CEST,0.9599991,73.1,73.94,72.62,335024,,,,,,,
MT,12.62,2020/09/01,16:00 EDT,0.059999466,12.35,12.64,12.235,3407777,,,,,,,
AIR.PA,69.57,2020/09/01,17:37 CEST,0.73000336,69.35,69.57,66.79,2386066,,,,,,,
AI.PA,139.15,2020/09/01,17:35 CEST,0.099990845,139.75,140.75,138.25,745758,,,,,,,
AC.PA,25.32,2020/09/01,17:35 CEST,-0.42000008,26.06,26.1,25.19,1083252,,,,,,,
"^FCHI",4938.1,2020/09/01,18:05 CEST,-9.120117,4974.42,4993.56,4892.83,0,,,,,,,
EURUSD=X,1.1900512,2020/09/02,07:40 BST,-0.0026968718,1.1923214,1.1936022,1.1896265,0,,,,,,,
SUN.AX,9.22,2020/09/02,16:10 AEST,0.1800003,9.12,9.32,9.07,2100155,,,,,,,
SOUHY,7.7308,2020/09/01,15:45 EDT,0.1408,7.65,7.75,7.65,37600,,,,,,,
WOW.AX,39.22,2020/09/02,16:10 AEST,1.0100021,38.8,39.39,38.55,2382388,,,,,,,
